DTE;BARRIS;TAXAPERMILHABITANTS
;;8,36003310063867
1;1. el Raval;8,97049843121565
1;2. el Barri Gòtic;6,16499300877081
1;3. la Barceloneta;5,89247881355932
1;4. Sant Pere, Santa Caterina i la Ribera;7,46936219697647
2;5. el Fort Pienc;8,19203657839588
2;6. la Sagrada Família;8,4407103452309
2;7. la Dreta de l Eixample;8,12182741116751
2;8. l Antiga Esquerra de l Eixample;7,91044418342642
2;9. la Nova Esquerra de l Eixample;7,75785765112203
2;10. Sant Antoni;7,71734565308694
3;11. el Poble Sec - Parc Montjuïc;8,88822682357615
3;12. la Marina del Prat Vermell - Zona Franca;10,4895104895105
3;13. la Marina de Port;7,72123672912437
3;14. la Font de la Guatlla;7,08119119216219
3;15. Hostafrancs;9,95787054768288
3;16. la Bordeta;7,98999891292532
3;17. Sants - Badal;7,50165782493369
3;18. Sants;8,68947961031967
4;19. les Corts;7,37212943632568
4;20. la Maternitat i Sant Ramon;7,80852147343405
4;21. Pedralbes;6,77995193958119
5;22. Vallvidrera, el Tibidabo i les Planes;8,86132033673017
5;23. Sarrià;10,5207356359336
5;24. les Tres Torres;8,72470762947837
5;25. Sant Gervasi - la Bonanova;8,8261253309797
5;26. Sant Gervasi - Galvany;8,30714931347652
5;27. el Putxet i el Farró;7,7817010044222
6;28. Vallcarca i els Penitents;8,49931875689353
6;29. el Coll;10,8288213244481
6;30. la Salut;7,44341485644843
6;31. la Vila de Gràcia;8,97954329210276
6;32. el Camp d en Grassot i Gràcia Nova;8,10739359045913
7;33. el Baix Guinardó;7,67814470952325
7;34. Can Baró;8,01444858336155
7;35. el Guinardó;8,35819215399336
7;36. la Font d en Fargues;7,52118644067797
7;37. el Carmel;8,55996714994156
7;38. la Teixonera;7,34586794927853
7;39. Sant Genís dels Agudells;5,66531086577571
7;40. Montbau;4,16088765603329
7;41. la Vall d Hebron;6,3752276867031
7;42. la Clota;19,1938579654511
7;43. Horta;7,04225352112676
8;44. Vilapicina i la Torre Llobeta;6,98610672560783
8;45. Porta;8,25627476882431
8;46. el Turó de la Peira;9,31074615285142
8;47. Can Peguera;9,28381962864722
8;48. la Guineueta;6,11052072263549
8;49. Canyelles;6,58931385188368
8;50. les Roquetes;8,41685941917245
8;51. Verdun;8,82692624979376
8;52. la Prosperitat;8,39434244317528
8;53. la Trinitat Nova;8,93340552246887
8;54. Torre Baró;8,63761287789556
8;55. Ciutat Meridiana;11,7982499262609
8;56. Vallbona;15,2671755725191
9;57. la Trinitat Vella;12,4011327018846
9;58. Baró de Viver;8,06126561870214
9;59. el Bon Pastor;10,9707971586425
9;60. Sant Andreu;8,81480033410937
9;61. la Sagrera;9,03698534542917
9;62. el Congrés i els Indians;8,54823647726456
9;63. Navas;7,91131962651212
10;64. el Camp de l Arpa del Clot;8,57256250826829
10;65. el Clot;7,02792676160533
10;66. el Parc i la Llacuna del Poblenou;9,23834941490454
10;67. la Vila Olímpica del Poblenou;9,61127723195216
10;68. el Poblenou;10,6631122959014
10;69. Diagonal Mar i el Front Marítim del Poblenou;13,2259045302524
10;70. el Besòs i el Maresme;9,76827719129178
10;71. Provençals del Poblenou;10,4498407643312
10;72. Sant Martí de Provençals;7,75552726009955
10;73. la Verneda i la Pau;6,97601776975671
